Team,League,,,,,,,,,,,,,,
Suning,LPL, ,,, ,,, ,,,,,,,
LGD Gaming,LPL,, ,,, ,,, ,,, ,,, 
Top Esports,LPL,, ,,, ,,, ,,,,,,
JD Gaming,LPL,,,,,,,,,,,,,,
G2 Esports,LEC,,,,,,,,,,,,,,
Fnatic,LEC,,,,,,,,,,,,,,
Rogue,LEC,,,,,,,,,,,,,,
MAD Lions,LEC,,,,,,,,,,,,,,
DAMWON Gaming,LCK,,,,,,,,,,,,,,
DRX,LCK,,,,,,,,,,,,,,
Gen.G,LCK,,,,,,,,,,,,,,
Team SoloMid,LCS,,,,,,,,,,,,,,
Team Liquid,LCS,,,,,,,,,,,,,,
FlyQuest,LCS,,,,,,,,,,,,,,
Machi Esports,PCS,,,,,,,,,,,,,,
PSG Talon,PCS,, ,,, ,,, ,,, ,,,
INTZ,CBLOL,,,,,,,,,,,,,,
Unicorns Of Love.CIS,LCL,,,,,,,,,,,,,,
V3 Esports,LJL,, ,,, ,,, ,,,,,,
Rainbow7,LLA,,,,,,,,,,,,,,
Legacy Esports,OPL,,,,,,,,,,,,,,
SuperMassive Esports,TCL,,,,,,,,,,,,,,
,,, ,,, ,,,,,,,,,
