from,to,weight
Ornn,Rek'Sai,2
Ornn,Zoe,1
Kai'Sa,Ornn,3
Leona,Ornn,1
Rek'Sai,Zoe,2
Kai'Sa,Rek'Sai,1
Leona,Rek'Sai,1
Kai'Sa,Zoe,2
Leona,Zoe,2
Kai'Sa,Leona,2
Kayle,Lee Sin,2
Kayle,Zoe,2
Kayle,Miss Fortune,1
Kayle,Nautilus,1
Lee Sin,Zoe,6
Lee Sin,Miss Fortune,1
Lee Sin,Nautilus,2
Miss Fortune,Zoe,2
Nautilus,Zoe,1
Miss Fortune,Nautilus,1
Lee Sin,Mordekaiser,1
Mordekaiser,Ryze,1
Aphelios,Mordekaiser,1
Braum,Mordekaiser,1
Lee Sin,Ryze,1
Aphelios,Lee Sin,4
Braum,Lee Sin,1
Aphelios,Ryze,1
Braum,Ryze,1
Aphelios,Braum,2
Lee Sin,Sett,4
Ornn,Sett,2
Sett,Xayah,1
Rakan,Sett,2
Lee Sin,Ornn,1
Lee Sin,Xayah,1
Lee Sin,Rakan,1
Ornn,Xayah,2
Ornn,Rakan,3
Rakan,Xayah,3
Kayle,Orianna,1
Aphelios,Kayle,1
Kayle,Thresh,1
Lee Sin,Orianna,1
Lee Sin,Thresh,2
Aphelios,Orianna,2
Orianna,Thresh,1
Aphelios,Thresh,6
Jarvan IV,Ryze,1
LeBlanc,Ryze,1
Ryze,Xayah,1
Rakan,Ryze,1
Jarvan IV,LeBlanc,1
Jarvan IV,Xayah,2
Jarvan IV,Rakan,3
LeBlanc,Xayah,1
LeBlanc,Rakan,1
Aatrox,Lee Sin,2
Aatrox,LeBlanc,2
Aatrox,Aphelios,3
Aatrox,Nautilus,1
LeBlanc,Lee Sin,2
Aphelios,LeBlanc,2
LeBlanc,Nautilus,1
Aphelios,Nautilus,2
Gnar,Ivern,1
Gnar,Orianna,1
Aphelios,Gnar,2
Gnar,Nautilus,1
Ivern,Orianna,1
Aphelios,Ivern,1
Ivern,Nautilus,1
Nautilus,Orianna,1
Gnar,Taliyah,1
Gnar,Renekton,1
Gnar,Rakan,1
Renekton,Taliyah,1
Aphelios,Taliyah,1
Rakan,Taliyah,1
Aphelios,Renekton,2
Rakan,Renekton,1
Aphelios,Rakan,1
Akali,Trundle,2
Akali,Syndra,1
Akali,Miss Fortune,1
Akali,Leona,1
Syndra,Trundle,4
Miss Fortune,Trundle,1
Leona,Trundle,2
Miss Fortune,Syndra,2
Leona,Syndra,4
Leona,Miss Fortune,2
Elise,Ornn,1
Ornn,Pantheon,4
Galio,Ornn,1
Elise,Pantheon,2
Elise,Kai'Sa,1
Elise,Galio,1
Kai'Sa,Pantheon,1
Galio,Pantheon,1
Galio,Kai'Sa,2
Sejuani,Sett,5
Senna,Sett,4
Rumble,Sett,1
Ornn,Sejuani,1
Sejuani,Senna,2
Rumble,Sejuani,1
Ornn,Senna,1
Ornn,Rumble,1
Rumble,Senna,1
Akali,Ornn,1
Akali,Kai'Sa,1
Akali,Rakan,1
Ornn,Trundle,1
Kai'Sa,Trundle,3
Rakan,Trundle,1
Kai'Sa,Rakan,2
Elise,Kalista,1
Kalista,Pantheon,2
Kalista,Miss Fortune,1
Janna,Kalista,1
Elise,Miss Fortune,1
Elise,Janna,1
Miss Fortune,Pantheon,1
Janna,Pantheon,1
Janna,Miss Fortune,1
Jayce,Sylas,3
Jayce,Zoe,5
Jayce,Kalista,3
Jayce,Taric,2
Sylas,Zoe,3
Kalista,Sylas,4
Sylas,Taric,2
Kalista,Zoe,2
Taric,Zoe,1
Kalista,Taric,2
Akali,Sylas,2
Akali,Renekton,2
Akali,Kalista,1
Akali,Taric,1
Renekton,Sylas,1
Kalista,Renekton,2
Renekton,Taric,1
Trundle,Wukong,6
Wukong,Zoe,3
Wukong,Ziggs,1
Pantheon,Wukong,3
Trundle,Zoe,3
Trundle,Ziggs,1
Pantheon,Trundle,3
Ziggs,Zoe,1
Pantheon,Zoe,5
Pantheon,Ziggs,1
Jayce,Lee Sin,1
Ezreal,Jayce,5
Jayce,Pantheon,2
Ezreal,Lee Sin,4
Lee Sin,Pantheon,3
Ezreal,Zoe,10
Ezreal,Pantheon,2
Jayce,Trundle,4
Jayce,Senna,4
Jayce,Maokai,1
Senna,Trundle,6
Maokai,Trundle,3
Senna,Zoe,3
Maokai,Zoe,1
Maokai,Senna,4
Kassadin,Wukong,1
Syndra,Wukong,1
Kassadin,Trundle,4
Kassadin,Syndra,2
Kassadin,Pantheon,1
Pantheon,Syndra,2
Nidalee,Renekton,7
Renekton,Sett,2
Ezreal,Renekton,2
Bard,Renekton,1
Nidalee,Sett,2
Ezreal,Nidalee,3
Bard,Nidalee,2
Ezreal,Sett,7
Bard,Sett,5
Bard,Ezreal,9
Kennen,Sett,3
Corki,Kennen,1
Ashe,Kennen,1
Kennen,Pantheon,1
Corki,Sett,2
Ashe,Sett,3
Pantheon,Sett,1
Ashe,Corki,1
Corki,Pantheon,1
Ashe,Pantheon,6
Kennen,Zoe,5
Aphelios,Kennen,3
Kennen,Thresh,4
Sett,Zoe,5
Aphelios,Sett,2
Sett,Thresh,3
Aphelios,Zoe,2
Thresh,Zoe,2
Camille,Karthus,1
Camille,Galio,1
Camille,Senna,1
Camille,Tahm Kench,1
Galio,Karthus,1
Karthus,Senna,1
Karthus,Tahm Kench,1
Galio,Senna,1
Galio,Tahm Kench,1
Senna,Tahm Kench,1
Jayce,Rek'Sai,2
Ashe,Jayce,2
Rek'Sai,Sylas,2
Ashe,Rek'Sai,1
Pantheon,Rek'Sai,1
Ashe,Sylas,3
Pantheon,Sylas,2
Jayce,Olaf,4
Jayce,Kassadin,2
Jayce,Sett,3
Kassadin,Olaf,1
Olaf,Senna,2
Olaf,Sett,1
Kassadin,Senna,2
Kassadin,Sett,3
Aatrox,Jarvan IV,2
Aatrox,Corki,1
Aatrox,Lucian,1
Aatrox,Yuumi,1
Corki,Jarvan IV,1
Jarvan IV,Lucian,1
Jarvan IV,Yuumi,1
Corki,Lucian,1
Corki,Yuumi,1
Lucian,Yuumi,1
Jarvan IV,Viktor,1
Ornn,Viktor,1
Viktor,Xayah,1
Rakan,Viktor,1
Jarvan IV,Ornn,1
Camille,Sejuani,2
Camille,Zoe,2
Camille,Miss Fortune,1
Camille,Yuumi,2
Sejuani,Zoe,2
Miss Fortune,Sejuani,4
Sejuani,Yuumi,5
Yuumi,Zoe,3
Miss Fortune,Yuumi,3
Kennen,Rek'Sai,2
Kennen,Syndra,5
Kennen,Taric,1
Rek'Sai,Syndra,2
Aphelios,Rek'Sai,1
Rek'Sai,Taric,1
Aphelios,Syndra,2
Syndra,Taric,1
Aphelios,Taric,4
Quinn,Sejuani,1
Quinn,Syndra,1
Quinn,Sett,1
Quinn,Yuumi,1
Sejuani,Syndra,2
Sett,Syndra,2
Syndra,Yuumi,2
Sett,Yuumi,3
Olaf,Soraka,2
Azir,Soraka,1
Aphelios,Soraka,1
Soraka,Taric,1
Azir,Olaf,1
Aphelios,Olaf,2
Olaf,Taric,1
Aphelios,Azir,2
Azir,Taric,2
Jarvan IV,Sett,1
Kai'Sa,Sett,3
Jarvan IV,Zoe,2
Jarvan IV,Kai'Sa,1
Rakan,Zoe,1
Sett,Trundle,3
Leona,Sett,1
Kai'Sa,Syndra,1
Ekko,Soraka,1
Miss Fortune,Soraka,1
Leona,Soraka,1
Ekko,Olaf,1
Miss Fortune,Olaf,1
Leona,Olaf,1
Ekko,Miss Fortune,1
Ekko,Leona,1
Aatrox,Cassiopeia,1
Aatrox,Taric,2
Cassiopeia,Jarvan IV,1
Aphelios,Jarvan IV,3
Jarvan IV,Taric,1
Aphelios,Cassiopeia,1
Cassiopeia,Taric,1
Irelia,Sejuani,1
Irelia,Syndra,1
Irelia,Miss Fortune,1
Irelia,Yuumi,1
Ekko,Ornn,2
Ornn,Varus,1
Ornn,Thresh,3
Ekko,Rek'Sai,1
Rek'Sai,Varus,2
Rek'Sai,Thresh,2
Ekko,Varus,1
Ekko,Thresh,1
Thresh,Varus,5
Jarvan IV,Kennen,2
Jarvan IV,Thresh,2
Jarvan IV,Jayce,1
Azir,Jayce,3
Aphelios,Jayce,2
