gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2/5/2020 6:34,1,10.02,6,Red,top,Nuguri,DAMWON Gaming,Mordekaiser,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,8,5,6,20,14,0,0,0,0,1,1,0,0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,1,0,23491,577.4109,0.288445,762.0811,827.5133,16,0.3933,4,0.0983,4,33,0.8111,17468,12213,300.1966,0.248622,17650,,323,281,42,25,4,7.9394,3541,4810,81,3191,4944,88,350,-134,-7,5188,7068,126,5063,7375,128,125,-307,-2
ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2/5/2020 6:34,1,10.02,7,Red,jng,Canyon,DAMWON Gaming,Lee Sin,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,1,3,12,20,14,0,0,0,0,0,0,0,0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0,0,6004,147.5789,0.073723,894.1008,904.6456,32,0.7866,17,0.4179,18,64,1.5731,11593,6338,155.7886,0.129021,11025,,188,24,164,132,0,4.6211,2908,2915,62,3502,3861,81,-594,-946,-19,4316,4525,94,5499,6435,125,-1183,-1910,-31
ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2/5/2020 6:34,1,10.02,8,Red,mid,ShowMaker,DAMWON Gaming,Ryze,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,5,1,7,20,14,0,0,0,0,0,0,0,0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0,0,21826,536.485,0.268001,488.3327,377.4273,26,0.6391,20,0.4916,12,95,2.3351,18004,12749,313.3716,0.259534,15800,,428,390,38,21,8,10.5203,3642,5057,106,3365,4959,93,277,98,13,5685,8310,175,5463,8027,151,222,283,24
ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2/5/2020 6:34,1,10.02,9,Red,bot,Nuclear,DAMWON Gaming,Aphelios,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,6,2,7,20,14,1,0,0,0,0,0,0,0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0,1,26146,642.671,0.321046,281.9091,596.7063,17,0.4179,24,0.5899,8,56,1.3765,19196,13941,342.671,0.2838,16850,,418,374,44,40,4,10.2745,3205,3161,85,3372,3330,94,-167,-169,-9,4964,5465,140,5239,5826,153,-275,-361,-13
ESPORTSTMNT01/1302595,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302595?gameHash=314d39ea940b354f,LCK,2020,Spring,0,2/5/2020 6:34,1,10.02,10,Red,sup,Hoit,DAMWON Gaming,Braum,Rek'Sai,Elise,Akali,Orianna,Nautilus,2441,1,0,3,15,20,14,0,0,0,0,1,0,1,0,0.4916,0.8357,,,,,,,,,,,,,,,,,,,,,,,,0,0,3973,97.6567,0.0487844,405.5961,494.5514,72,1.7698,20,0.4916,21,115,2.8267,9137,3882,95.4199,0.0790232,8325,,44,44,0,0,0,1.0815,2301,2817,12,2111,2324,12,190,493,0,3299,3841,22,3397,3782,19,-98,59,3
ESPORTSTMNT01/1302628,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302628?gameHash=0ab39ec364a3ff5b,LCK,2020,Spring,0,2/5/2020 9:00,2,10.02,1,Blue,top,Nuguri,DAMWON Gaming,Sett,Rek'Sai,Elise,Mordekaiser,Renekton,Aatrox,2870,0,1,7,5,10,18,0,0,0,0,0,0,0,1,0.2091,0.5854,,,,,,,,,,,,,,,,,,,,,,,,0,0,25252,527.9164,0.286769,938.5296,1204.7666,22,0.4599,11,0.23,4,47,0.9826,16836,10706,223.8188,0.216244,16933,,336,300,36,13,4,7.0244,3608,5031,93,3477,4650,75,131,381,18,5869,7867,148,5558,8287,128,311,-420,20
ESPORTSTMNT01/1302628,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302628?gameHash=0ab39ec364a3ff5b,LCK,2020,Spring,0,2/5/2020 9:00,2,10.02,2,Blue,jng,Canyon,DAMWON Gaming,Lee Sin,Rek'Sai,Elise,Mordekaiser,Renekton,Aatrox,2870,0,4,1,5,10,18,0,0,0,0,0,0,0,0,0.2091,0.5854,,,,,,,,,,,,,,,,,,,,,,,,0,0,13056,272.9477,0.148268,802.0139,1088.0488,33,0.6899,26,0.5436,18,83,1.7352,15488,9358,195.6376,0.189016,14475,,273,59,214,145,9,5.7073,3442,3385,71,3093,2868,55,349,517,16,5015,5302,104,4618,4641,92,397,661,12
ESPORTSTMNT01/1302628,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302628?gameHash=0ab39ec364a3ff5b,LCK,2020,Spring,0,2/5/2020 9:00,2,10.02,3,Blue,mid,ShowMaker,DAMWON Gaming,Ornn,Rek'Sai,Elise,Mordekaiser,Renekton,Aatrox,2870,0,1,3,6,10,18,0,0,0,0,0,0,0,0,0.2091,0.5854,,,,,,,,,,,,,,,,,,,,,,,,0,0,12503,261.3868,0.141988,956.5923,1665.5331,32,0.669,10,0.2091,13,67,1.4007,16034,9904,207.0523,0.200044,15625,,321,313,8,5,0,6.7108,3426,5071,96,3553,5018,101,-127,53,-5,5479,7993,156,5486,8257,167,-7,-264,-11
ESPORTSTMNT01/1302628,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302628?gameHash=0ab39ec364a3ff5b,LCK,2020,Spring,0,2/5/2020 9:00,2,10.02,4,Blue,bot,Nuclear,DAMWON Gaming,Xayah,Rek'Sai,Elise,Mordekaiser,Renekton,Aatrox,2870,0,3,3,2,10,18,0,0,0,0,0,0,0,0,0.2091,0.5854,,,,,,,,,,,,,,,,,,,,,,,,0,1,30806,644.0279,0.349842,284.9895,458.3206,18,0.3763,19,0.3972,4,65,1.3589,21372,15242,318.6481,0.307868,21050,,511,455,56,52,4,10.6829,3225,3236,84,3436,3261,97,-211,-25,-13,5147,5101,138,5458,5523,148,-311,-422,-10
ESPORTSTMNT01/1302628,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302628?gameHash=0ab39ec364a3ff5b,LCK,2020,Spring,0,2/5/2020 9:00,2,10.02,5,Blue,sup,Hoit,DAMWON Gaming,Rakan,Rek'Sai,Elise,Mordekaiser,Renekton,Aatrox,2870,0,1,4,5,10,18,0,0,0,0,0,0,0,0,0.2091,0.5854,,,,,,,,,,,,,,,,,,,,,,,,0,0,6440,134.6341,0.0731344,347.9164,637.338,87,1.8188,36,0.7526,23,158,3.3031,10429,4299,89.8746,0.0868281,10325,,65,65,0,0,0,1.3589,2061,2694,14,2095,3020,13,-34,-326,1,3230,4055,24,3165,4145,24,65,-90,0
