,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,date2,time,dragon_control,baron_control
335,5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 11:47:00,1,10.01,200,Red,team,,Suning,,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,19,18,42,19,18,1.0,0.0,0.0,0.0,0.0,,,,0.468,0.9113,1.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,8.0,1.0,1.0,1.0,1.0,95880,2361.5764,,2933.5468,3084.3103,155,3.8177,58,1.4286,57,312.0,7.6847,62338,36113,889.4828,,60715.0,0.000906282,,,227,150,14,,14662.0,18192.0,321.0,16009.0,18460.0,337.0,-1347.0,-268.0,-16.0,24002.0,29130.0,487.0,23177.0,27126.0,502.0,825.0,2004.0,-15.0,2020-01-16,11:47:00,0.5714285714285714,0.0
346,5662-7267,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,2020-01-16 12:49:00,2,10.01,100,Blue,team,,Suning,,Olaf,Ryze,Pantheon,Braum,Nautilus,2097,0,11,12,25,11,12,1.0,1.0,0.0,0.0,1.0,,,,0.3147,0.6581,1.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,1.0,1.0,0.0,1.0,59713,1708.5265,,2571.2446,3349.5851,131,3.7482,55,1.5737,56,250.0,7.1531,53707,30940,885.2647,,51750.0,-0.0374496,,,211,153,18,,15285.0,17727.0,305.0,15081.0,17586.0,325.0,204.0,141.0,-20.0,24159.0,27320.0,462.0,24146.0,28055.0,515.0,13.0,-735.0,-53.0,2020-01-16,12:49:00,0.4,0.0
395,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.01,200,Red,team,,Top Esports,,Akali,Jarvan IV,Olaf,Braum,Ornn,1961,1,19,10,34,19,10,2.0,0.0,0.0,0.0,1.0,,,,0.5813,0.8873,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,75995,2325.1912,,2518.103,1898.2458,118,3.6104,64,1.9582,49,273.0,8.3529,61654,40274,1232.2489,,57005.0,0.10496199999999999,,,255,178,12,,15521.0,18753.0,343.0,14794.0,18334.0,331.0,727.0,419.0,12.0,24005.0,30348.0,554.0,23760.0,29014.0,532.0,245.0,1334.0,22.0,2020-01-17,12:22:00,0.8,1.0
406,5664-7271,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 13:16:00,2,10.01,100,Blue,team,,Top Esports,,Jarvan IV,Gragas,Qiyana,Nautilus,Leona,1830,1,13,6,35,13,6,1.0,0.0,0.0,0.0,0.0,,,,0.4262,0.623,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,1.0,0.0,52141,1709.541,,2296.0984,2362.4262,100,3.2787,48,1.5738,39,248.0,8.1311,55311,35267,1156.2951,,48335.0,0.11832999999999999,,,207,113,30,,15066.0,17122.0,285.0,14864.0,16704.0,292.0,202.0,418.0,-7.0,24052.0,27122.0,477.0,22107.0,27112.0,481.0,1945.0,10.0,-4.0,2020-01-17,13:16:00,0.25,1.0
515,5668-7281,complete,https://lpl.qq.com/es/stats.shtml?bmid=5668,LPL,2020,Spring,0,2020-01-19 12:27:00,1,10.01,200,Red,team,,Top Esports,,Akali,Renekton,Elise,LeBlanc,Ornn,1841,0,4,18,14,4,18,0.0,0.0,0.0,0.0,0.0,,,,0.1304,0.717,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,1.0,0.0,0.0,2.0,38837,1265.736,,2309.5926,2309.0386,119,3.8783,45,1.4666,48,230.0,7.4959,46226,26070,849.6469,,45583.0,-0.13171,,,177,128,6,,15852.0,17321.0,332.0,16164.0,17908.0,320.0,-312.0,-587.0,12.0,24094.0,27718.0,539.0,23457.0,26844.0,490.0,637.0,874.0,49.0,2020-01-19,12:27:00,0.0,0.0
526,5668-7282,complete,https://lpl.qq.com/es/stats.shtml?bmid=5668,LPL,2020,Spring,0,2020-01-19 13:19:00,2,10.01,100,Blue,team,,Top Esports,,Renekton,Miss Fortune,Aphelios,LeBlanc,Rumble,1657,1,14,4,42,14,4,0.0,0.0,0.0,0.0,0.0,,,,0.5069,0.6518,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,43462,1573.7598,,2103.1141,1886.9403,96,3.4762,41,1.4846,41,210.0,7.6041,52489,34210,1238.7447,,48000.0,0.21287399999999998,,,219,135,12,,14947.0,17617.0,335.0,14857.0,17774.0,287.0,90.0,-157.0,48.0,23782.0,28487.0,518.0,22181.0,27158.0,462.0,1601.0,1329.0,56.0,2020-01-19,13:19:00,0.75,1.0
539,5668-7283,complete,https://lpl.qq.com/es/stats.shtml?bmid=5668,LPL,2020,Spring,0,2020-01-19 14:07:00,3,10.01,200,Red,team,,Top Esports,,Akali,Renekton,Miss Fortune,Qiyana,Gangplank,1871,1,13,4,30,13,4,1.0,0.0,0.0,0.0,1.0,,,,0.4169,0.5452,1.0,5.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,3.0,1.0,1.0,2.0,0.0,51054,1637.2207,,1951.2026,2560.0855,112,3.5917,39,1.2507,42,230.0,7.3757,55135,34673,1111.9081,,48950.0,0.0792184,,,189,132,12,,14757.0,17791.0,309.0,14404.0,17710.0,307.0,353.0,81.0,2.0,22868.0,28501.0,511.0,22459.0,28922.0,521.0,409.0,-421.0,-10.0,2020-01-19,14:07:00,1.0,1.0
646,ESPORTSTMNT05/1390161,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390161?gameHash=c77bd1d7e54d4801&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 16:17:25,1,10.01,100,Blue,team,,G2 Esports,,Irelia,Rumble,Pantheon,LeBlanc,Thresh,2059,1,21,14,53,21,14,2.0,1.0,0.0,0.0,0.0,,,,0.6119,1.0199,0.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,1.0,1.0,0.0,90207,2628.6644,,2680.6508,2304.2156,153,4.4585,59,1.7193,45,321.0,9.3541,62116,39736,1157.9213,,57285.0,0.0759196,,776.0,241,157,20,29.6357,14115.0,17161.0,306.0,15644.0,18622.0,289.0,-1529.0,-1461.0,17.0,22366.0,28399.0,503.0,24911.0,28981.0,462.0,-2545.0,-582.0,41.0,2020-01-24,16:17:25,0.6,1.0
863,ESPORTSTMNT05/1390263,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390263?gameHash=11c29bbfef59b453&amp;tab=overview,LEC,2020,Spring,0,2020-01-25 19:26:39,1,10.01,200,Red,team,,G2 Esports,,Akali,Pantheon,Aphelios,Thresh,Nautilus,1853,1,23,8,62,23,8,3.0,1.0,0.0,0.0,0.0,,,,0.7447,1.0038,1.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,2.0,0.0,87947,2847.7172,,2699.2876,2971.6352,108,3.497,47,1.5219,45,244.0,7.9007,60941,40662,1316.6325,,54700.0,0.14984,,771.0,258,138,50,33.3189,15500.0,18823.0,348.0,15336.0,17045.0,308.0,164.0,1778.0,40.0,24322.0,29520.0,524.0,25044.0,28734.0,517.0,-722.0,786.0,7.0,2020-01-25,19:26:39,1.0,1.0
1331,ESPORTSTMNT04/1120150,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120150?gameHash=ab21332050c53eac,LEC,2020,Spring,0,2020-01-31 18:44:20,1,10.02,200,Red,team,,G2 Esports,,Akali,Sett,Pantheon,Cassiopeia,Aatrox,1381,1,15,1,34,15,1,3.0,1.0,0.0,0.0,1.0,,,,0.6517,0.6951,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,44813,1946.9804,,2082.9689,1237.7118,71,3.0847,27,1.1731,33,165.0,7.1687,42997,27533,1196.2201,,38175.0,0.20824299999999998,,585.0,158,82,26,32.281,16033.0,18901.0,322.0,13888.0,16742.0,269.0,2145.0,2159.0,53.0,26850.0,30956.0,511.0,21347.0,25737.0,436.0,5503.0,5219.0,75.0,2020-01-31,18:44:20,1.0,0.0
